shipment_id,lane_id,carrier_id,shipment_mode,pickup_date,promised_delivery_date,delivery_date,weight_lbs,freight_cost,shipment_status,delay_reason
40001,12,3,Air,2025-10-22,2025-10-26,2025-10-27,1435.8,3426.23,Delivered,Capacity Constraint
40002,3,7,LTL,2024-07-25,2024-07-29,2024-07-31,4264.1,1110.66,Delivered,Weather
40003,3,8,LTL,2025-01-12,2025-01-16,2025-01-15,4732.5,550.28,Delivered,
40004,10,3,Air,2024-12-06,2024-12-10,2024-12-10,880.6,1525.88,Delivered,
40005,9,4,FTL,2025-12-15,2025-12-18,2025-12-16,26468.6,1576.27,Delivered,
40006,7,1,LTL,2025-11-06,2025-11-07,2025-11-07,4715.0,1720.43,Delivered,
40007,3,4,FTL,2026-04-21,2026-04-25,2026-04-24,41826.7,4447.02,Delivered,
40008,3,6,LTL,2024-09-12,2024-09-16,2024-09-15,4186.9,402.94,Delivered,
40009,6,1,Parcel,2025-05-02,2025-05-03,2025-05-03,61.4,35.05,Delivered,
40010,12,2,Air,2024-07-27,2024-07-31,2024-07-30,1885.7,2975.25,Delivered,
40011,3,5,LTL,2024-12-03,2024-12-07,2024-12-06,1313.4,492.33,Delivered,
40012,9,6,Parcel,2025-07-14,2025-07-17,2025-07-15,69.1,25.67,Delivered,
40013,5,5,LTL,2024-07-26,2024-07-27,2024-07-28,992.3,894.65,Delivered,Capacity Constraint
40014,8,4,FTL,2024-11-20,2024-11-27,2024-11-27,15645.5,2724.66,Delivered,
40015,7,1,LTL,2025-10-26,2025-10-27,2025-10-26,2969.8,1697.82,Delivered,
40016,16,3,Air,2025-08-05,2025-08-11,2025-08-09,166.0,7558.78,Delivered,
40017,4,4,LTL,2024-12-04,2024-12-05,2024-12-04,1039.5,1395.69,Delivered,
40018,3,8,FTL,2025-09-15,2025-09-19,,20703.6,2693.72,Cancelled,
40019,11,3,Air,2026-02-02,2026-02-08,2026-02-09,637.6,523.71,Delivered,Incorrect Documentation
40020,2,7,LTL,2024-07-15,2024-07-16,2024-07-16,3645.6,475.58,Delivered,
40021,2,1,Parcel,2026-01-31,2026-02-01,2026-02-01,59.4,143.06,Delivered,
40022,4,7,LTL,2025-11-20,2025-11-21,2025-11-21,414.3,682.79,Delivered,
40023,3,4,LTL,2025-03-06,2025-03-10,2025-03-08,1046.9,907.79,Delivered,
